controller,scenario,ablation,metric,n,mean,median,std,min,max,ci95_low,ci95_high
random,A,full_stack,energy_not_served_mwh,10,0.587403,0.510274,0.441078,0.093767,1.638472,0.354038,0.870469
random,A,full_stack,total_customer_minutes_interrupted,10,172.7,163.5,90.320479,56.0,351.0,121.5,228.4025
random,A,full_stack,restoration_rate,10,0.491667,0.5,0.099184,0.375,0.666667,0.435,0.55167
random,A,full_stack,avg_restoration_steps,10,17.266667,15.333333,9.601296,5.666667,38.0,12.033125,23.366667
random,A,full_stack,critical_load_interruption_steps,10,31.5,22.0,21.940576,8.0,66.0,19.4,44.7
random,A,full_stack,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,E,full_stack,energy_not_served_mwh,10,1.618428,1.781795,0.853806,0.462302,3.455573,1.134785,2.145475
random,E,full_stack,total_customer_minutes_interrupted,10,275.2,263.5,136.868794,87.0,496.0,196.0,357.7
random,E,full_stack,restoration_rate,10,0.574188,0.558442,0.084783,0.5,0.714286,0.525974,0.626786
random,E,full_stack,avg_restoration_steps,10,32.506667,30.625,8.675331,18.0,44.666667,27.47475,37.520042
random,E,full_stack,critical_load_interruption_steps,10,42.8,39.5,19.809089,14.0,72.0,31.4975,54.4
random,E,full_stack,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,I,full_stack,energy_not_served_mwh,10,0.591934,0.511519,0.44473,0.093767,1.644011,0.35643,0.876689
random,I,full_stack,total_customer_minutes_interrupted,10,178.5,196.0,88.439873,56.0,351.0,126.4,232.005
random,I,full_stack,restoration_rate,10,0.471667,0.464286,0.094988,0.375,0.666667,0.419643,0.53131
random,I,full_stack,avg_restoration_steps,10,16.808333,15.5,8.227668,5.666667,30.5,12.108125,21.683333
random,I,full_stack,critical_load_interruption_steps,10,30.0,22.0,19.888579,8.0,66.0,19.0,41.9
random,I,full_stack,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,J,full_stack,energy_not_served_mwh,10,2.019773,1.851818,0.594572,1.349649,3.311345,1.698555,2.397219
random,J,full_stack,total_customer_minutes_interrupted,10,3446.3,3480.5,822.620751,2116.0,4478.0,2955.49,3919.0175
random,J,full_stack,restoration_rate,10,0.085606,0.0,0.127771,0.0,0.333333,0.016667,0.166667
random,J,full_stack,avg_restoration_steps,10,8.2,0.0,14.193721,0.0,44.333333,1.733333,17.766667
random,J,full_stack,critical_load_interruption_steps,10,131.6,125.5,103.81201,16.0,295.0,72.1,195.1
random,J,full_stack,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rule_based,A,full_stack,energy_not_served_mwh,10,4.873287,4.463131,1.529593,2.778081,8.359008,4.058203,5.847754
rule_based,A,full_stack,total_customer_minutes_interrupted,10,394.7,394.5,60.468633,331.0,524.0,361.7,432.2
rule_based,A,full_stack,restoration_rate,10,0.378478,0.428571,0.243271,0.0,0.7,0.230556,0.515685
rule_based,A,full_stack,avg_restoration_steps,10,39.760952,44.828571,24.922679,0.0,69.0,24.545333,53.852619
rule_based,A,full_stack,critical_load_interruption_steps,10,75.7,80.0,7.008725,60.0,80.0,71.3,79.3
rule_based,A,full_stack,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rule_based,E,full_stack,energy_not_served_mwh,10,9.760764,9.565001,1.904121,6.692814,13.933722,8.694738,10.938113
rule_based,E,full_stack,total_customer_minutes_interrupted,10,595.5,585.0,101.919631,467.0,722.0,537.0,655.7
rule_based,E,full_stack,restoration_rate,10,0.155066,0.088462,0.18495,0.0,0.545455,0.054545,0.272339
rule_based,E,full_stack,avg_restoration_steps,10,21.6,10.0,26.642952,0.0,68.333333,7.033333,38.266667
rule_based,E,full_stack,critical_load_interruption_steps,10,80.0,80.0,0.0,80.0,80.0,80.0,80.0
rule_based,E,full_stack,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rule_based,I,full_stack,energy_not_served_mwh,10,4.873287,4.463131,1.529593,2.778081,8.359008,4.058203,5.847754
rule_based,I,full_stack,total_customer_minutes_interrupted,10,394.7,394.5,60.468633,331.0,524.0,361.7,432.2
rule_based,I,full_stack,restoration_rate,10,0.378478,0.428571,0.243271,0.0,0.7,0.230556,0.515685
rule_based,I,full_stack,avg_restoration_steps,10,39.760952,44.828571,24.922679,0.0,69.0,24.545333,53.852619
rule_based,I,full_stack,critical_load_interruption_steps,10,75.7,80.0,7.008725,60.0,80.0,71.3,79.3
rule_based,I,full_stack,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rule_based,J,full_stack,energy_not_served_mwh,10,44.227196,40.994991,10.406945,30.833073,59.580291,38.393502,50.47054
rule_based,J,full_stack,total_customer_minutes_interrupted,10,4245.9,4063.5,796.426665,3311.0,5736.0,3806.3875,4735.915
rule_based,J,full_stack,restoration_rate,10,0.082817,0.071429,0.093477,0.0,0.272727,0.030769,0.141161
rule_based,J,full_stack,avg_restoration_steps,10,156.466667,79.25,180.425762,0.0,475.0,56.3825,268.516667
rule_based,J,full_stack,critical_load_interruption_steps,10,326.5,345.5,145.300646,25.0,480.0,236.4,406.2
rule_based,J,full_stack,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trained_dqn,A,full_stack,energy_not_served_mwh,10,4.81474,4.463131,1.546081,2.778081,8.359008,3.994086,5.799207
trained_dqn,A,full_stack,total_customer_minutes_interrupted,10,382.9,372.0,57.314823,331.0,524.0,354.0,420.0
trained_dqn,A,full_stack,restoration_rate,10,0.385144,0.428571,0.246343,0.0,0.666667,0.235,0.523638
trained_dqn,A,full_stack,avg_restoration_steps,10,38.75381,43.4,25.136904,0.0,69.0,23.40381,53.200095
trained_dqn,A,full_stack,critical_load_interruption_steps,10,75.7,80.0,7.008725,60.0,80.0,71.3,79.3
trained_dqn,A,full_stack,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trained_dqn,A,no_ems,energy_not_served_mwh,10,4.81474,4.463131,1.546081,2.778081,8.359008,3.994086,5.799207
trained_dqn,A,no_ems,total_customer_minutes_interrupted,10,382.9,372.0,57.314823,331.0,524.0,354.0,420.0
trained_dqn,A,no_ems,restoration_rate,10,0.385144,0.428571,0.246343,0.0,0.666667,0.235,0.523638
trained_dqn,A,no_ems,avg_restoration_steps,10,38.75381,43.4,25.136904,0.0,69.0,23.40381,53.200095
trained_dqn,A,no_ems,critical_load_interruption_steps,10,75.7,80.0,7.008725,60.0,80.0,71.3,79.3
trained_dqn,A,no_ems,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trained_dqn,A,no_lstm,energy_not_served_mwh,10,4.81474,4.463131,1.546081,2.778081,8.359008,3.994086,5.799207
trained_dqn,A,no_lstm,total_customer_minutes_interrupted,10,382.9,372.0,57.314823,331.0,524.0,354.0,420.0
trained_dqn,A,no_lstm,restoration_rate,10,0.385144,0.428571,0.246343,0.0,0.666667,0.235,0.523638
trained_dqn,A,no_lstm,avg_restoration_steps,10,38.75381,43.4,25.136904,0.0,69.0,23.40381,53.200095
trained_dqn,A,no_lstm,critical_load_interruption_steps,10,75.7,80.0,7.008725,60.0,80.0,71.3,79.3
trained_dqn,A,no_lstm,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trained_dqn,A,no_predictive,energy_not_served_mwh,10,4.81474,4.463131,1.546081,2.778081,8.359008,3.994086,5.799207
trained_dqn,A,no_predictive,total_customer_minutes_interrupted,10,382.9,372.0,57.314823,331.0,524.0,354.0,420.0
trained_dqn,A,no_predictive,restoration_rate,10,0.385144,0.428571,0.246343,0.0,0.666667,0.235,0.523638
trained_dqn,A,no_predictive,avg_restoration_steps,10,38.75381,43.4,25.136904,0.0,69.0,23.40381,53.200095
trained_dqn,A,no_predictive,critical_load_interruption_steps,10,75.7,80.0,7.008725,60.0,80.0,71.3,79.3
trained_dqn,A,no_predictive,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trained_dqn,A,no_twin,energy_not_served_mwh,10,4.81474,4.463131,1.546081,2.778081,8.359008,3.994086,5.799207
trained_dqn,A,no_twin,total_customer_minutes_interrupted,10,382.9,372.0,57.314823,331.0,524.0,354.0,420.0
trained_dqn,A,no_twin,restoration_rate,10,0.385144,0.428571,0.246343,0.0,0.666667,0.235,0.523638
trained_dqn,A,no_twin,avg_restoration_steps,10,38.75381,43.4,25.136904,0.0,69.0,23.40381,53.200095
trained_dqn,A,no_twin,critical_load_interruption_steps,10,75.7,80.0,7.008725,60.0,80.0,71.3,79.3
trained_dqn,A,no_twin,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trained_dqn,E,full_stack,energy_not_served_mwh,10,9.61824,9.565001,1.945229,6.692814,13.933722,8.545719,10.823544
trained_dqn,E,full_stack,total_customer_minutes_interrupted,10,585.6,581.0,98.880624,467.0,722.0,528.6,644.5
trained_dqn,E,full_stack,restoration_rate,10,0.208632,0.211111,0.161049,0.0,0.545455,0.119192,0.306713
trained_dqn,E,full_stack,avg_restoration_steps,10,21.916667,20.75,21.250309,0.0,68.333333,10.616667,35.417083
trained_dqn,E,full_stack,critical_load_interruption_steps,10,80.0,80.0,0.0,80.0,80.0,80.0,80.0
trained_dqn,E,full_stack,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trained_dqn,E,no_ems,energy_not_served_mwh,10,9.61824,9.565001,1.945229,6.692814,13.933722,8.545719,10.823544
trained_dqn,E,no_ems,total_customer_minutes_interrupted,10,585.6,581.0,98.880624,467.0,722.0,528.6,644.5
trained_dqn,E,no_ems,restoration_rate,10,0.208632,0.211111,0.161049,0.0,0.545455,0.119192,0.306713
trained_dqn,E,no_ems,avg_restoration_steps,10,21.916667,20.75,21.250309,0.0,68.333333,10.616667,35.417083
trained_dqn,E,no_ems,critical_load_interruption_steps,10,80.0,80.0,0.0,80.0,80.0,80.0,80.0
trained_dqn,E,no_ems,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trained_dqn,E,no_lstm,energy_not_served_mwh,10,9.61824,9.565001,1.945229,6.692814,13.933722,8.545719,10.823544
trained_dqn,E,no_lstm,total_customer_minutes_interrupted,10,585.6,581.0,98.880624,467.0,722.0,528.6,644.5
trained_dqn,E,no_lstm,restoration_rate,10,0.208632,0.211111,0.161049,0.0,0.545455,0.119192,0.306713
trained_dqn,E,no_lstm,avg_restoration_steps,10,21.916667,20.75,21.250309,0.0,68.333333,10.616667,35.417083
trained_dqn,E,no_lstm,critical_load_interruption_steps,10,80.0,80.0,0.0,80.0,80.0,80.0,80.0
trained_dqn,E,no_lstm,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
